Stages,NDVI,EVI,MCARI,SAVI,CCCI,SIPI,observed_LAI,Crop_stage
,0.699662248,0.50132939,0.646155143,0.456282711,0.006371311,0.532959557,1.8,wheat0000406-02-2021
Hard_Dough1,0.64134024,0.401042709,0.579532377,0.383189705,0.010657223,0.474584846,1.35,Wheat0000116-02-2021
,0.576375234,0.34646464,0.506073944,0.339914399,0.012169237,0.411439344,1.4,Wheat0000216-02-2021
,0.50593268,0.292459804,0.427323072,0.294765791,0.014860851,0.346079304,1.28,Wheat0000316-02-2021
,0.432915083,0.231720065,0.346627121,0.240866057,0.016565059,0.281481922,1.33,Wheat0000416-02-2021
,0.391821832,0.195960959,0.301798783,0.208274609,0.017454431,0.248769179,1.2,Wheat0000516-02-2021
Harvesting1,0.276830133,0.118999615,0.178041096,0.132910661,0.026967186,0.162894488,1.283306932,wheat0000026-02-2021
,0.272193841,0.104051336,0.172832337,0.116822145,0.027240394,0.15777208,1.348707035,wheat0000126-02-2021
,0.196691579,0.065468727,0.09284907,0.075362358,0.035280859,0.10690333,1.308256355,wheat0000226-02-2021
,0.143135495,0.048791509,0.03715311,0.057065271,0.042430083,0.075234116,1.366596187,wheat0000326-02-2021
,0.169483188,0.067891892,0.065289158,0.079124049,0.038014144,0.093768285,1.283516715,wheat0000426-02-2021
